"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TMAKAEN6","journalArticle","2023","de Zarzà, I.; de Curtò, J.; Roig, Gemma; Manzoni, Pietro; Calafate, Carlos T.","Emergent Cooperation and Strategy Adaptation in Multi-Agent Systems: An Extended Coevolutionary Theory with LLMs","Electronics (Switzerland)","","20799292","10.3390/electronics12122722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163806582&doi=10.3390%2felectronics12122722&partnerID=40&md5=089bd64feeaa5bc844dd3f18b4cb6750","The increasing complexity of Multi-Agent Systems (MASs), coupled with the emergence of Artificial Intelligence (AI) and Large Language Models (LLMs), have highlighted significant gaps in our understanding of the behavior and interactions of diverse entities within dynamic environments. Traditional game theory approaches have often been employed in this context, but their utility is limited by the static and homogenous nature of their models. With the transformative influence of AI and LLMs on business and society, a more dynamic and nuanced theoretical framework is necessary to guide the design and management of MASs. In response to this pressing need, we propose an Extended Coevolutionary (EC) Theory in this paper. This alternative framework incorporates key aspects of coevolutionary dynamics, adaptive learning, and LLM-based strategy recommendations to model and analyze the strategic interactions among heterogeneous agents in MASs. It goes beyond game theory by acknowledging and addressing the diverse interactions (economic transactions, social relationships, information exchange) and the variability in risk aversion, social preferences, and learning capabilities among entities. To validate the effectiveness of the EC framework, we developed a simulation environment that enabled us to explore the emergence of cooperation and defection patterns in MASs. The results demonstrated the potential of our framework to promote cooperative behavior and maintain robustness in the face of disruptions. The dynamics and evolution of the Multi-Agent System over time were also visualized using advanced techniques. Our findings underscore the potential of harnessing LLMs to facilitate cooperation, enhance social welfare, and promote resilient strategies in multi-agent environments. Moreover, the proposed EC framework offers valuable insights into the interplay between strategic decision making, adaptive learning, and LLM-informed guidance in complex, evolving systems. This research not only responds to the current challenges faced in modeling MASs, but also paves the way for future research in this rapidly developing field. © 2023 by the authors.","2023","2025-06-10 12:53:53","2025-06-10 12:53:53","","","","12","12","","","","","","","","","","English","","","","","","","Publisher: MDPI Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EVRBV6M","journalArticle","2025","Ooi, Keng-Boon; Tan, Garry Wei-Han; Al-Emran, Mostafa; Al-Sharafi, Mohammed A.; Capatina, Alexandru; Chakraborty, Amrita; Dwivedi, Yogesh K.; Huang, Tzu-Ling; Kar, Arpan Kumar; Lee, Voon-Hsien; Loh, Xiu-Ming; Micu, Adrian; Mikalef, Patrick; Mogaji, Emmanuel; Pandey, Neeraj; Raman, Ramakrishnan; Rana, Nripendra P.; Sarker, Prianka; Sharma, Anshuman; Teng, Ching-I; Wamba, Samuel Fosso; Wong, Lai-Wan","The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions","Journal of Computer Information Systems","","08874417","10.1080/08874417.2023.2261010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173499156&doi=10.1080%2f08874417.2023.2261010&partnerID=40&md5=71d660d872498623c020fe6a8f42a6d7","In a short span of time since its introduction, generative artificial intelligence (AI) has garnered much interest at both personal and organizational levels. This is because of its potential to cause drastic and widespread shifts in many aspects of life that are comparable to those of the Internet and smartphones. More specifically, generative AI utilizes machine learning, neural networks, and other techniques to generate new content (e.g. text, images, music) by analyzing patterns and information from the training data. This has enabled generative AI to have a wide range of applications, from creating personalized content to improving business operations. Despite its many benefits, there are also significant concerns about the negative implications of generative AI. In view of this, the current article brings together experts in a variety of fields to expound and provide multi-disciplinary insights on the opportunities, challenges, and research agendas of generative AI in specific industries (i.e. marketing, healthcare, human resource, education, banking, retailing, the workplace, manufacturing, and sustainable IT management). © 2023 International Association for Computer Information Systems.","2025","2025-06-10 12:53:53","2025-06-10 12:53:53","","76 – 107","","1","65","","","","","","","","","","English","","","","","","","Publisher: Taylor and Francis Ltd. Type: Article","","","","Bard; ChatGPT; Generative artificial intelligence; Human resource management; Industrial research; Language model; Large language model; Learning neural networks; Machine learning; Machine-learning; Music; Organizational levels; Smart phones; Text images","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPWF9VGJ","journalArticle","2024","Knoth, Nils; Tolzin, Antonia; Janson, Andreas; Leimeister, Jan Marco","AI literacy and its implications for prompt engineering strategies","Computers and Education: Artificial Intelligence","","2666920X","10.1016/j.caeai.2024.100225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190763665&doi=10.1016%2fj.caeai.2024.100225&partnerID=40&md5=ca791ae4c33d84ebc3905e1da3e64f96","Artificial intelligence technologies are rapidly advancing. As part of this development, large language models (LLMs) are increasingly being used when humans interact with systems based on artificial intelligence (AI), posing both new opportunities and challenges. When interacting with LLM-based AI system in a goal-directed manner, prompt engineering has evolved as a skill of formulating precise and well-structured instructions to elicit desired responses or information from the LLM, optimizing the effectiveness of the interaction. However, research on the perspectives of non-experts using LLM-based AI systems through prompt engineering and on how AI literacy affects prompting behavior is lacking. This aspect is particularly important when considering the implications of LLMs in the context of higher education. In this present study, we address this issue, introduce a skill-based approach to prompt engineering, and explicitly consider the role of non-experts' AI literacy (students) in their prompt engineering skills. We also provide qualitative insights into students’ intuitive behaviors towards LLM-based AI systems. The results show that higher-quality prompt engineering skills predict the quality of LLM output, suggesting that prompt engineering is indeed a required skill for the goal-directed use of generative AI tools. In addition, the results show that certain aspects of AI literacy can play a role in higher quality prompt engineering and targeted adaptation of LLMs within education. We, therefore, argue for the integration of AI educational content into current curricula to enable a hybrid intelligent society in which students can effectively use generative AI tools such as ChatGPT. © 2024 The Authors","2024","2025-06-10 12:53:53","2025-06-10 12:53:53","","","","","6","","","","","","","","","","English","","","","","","","Publisher: Elsevier B.V. Type: Article","","","","Artificial intelligence; Artificial intelligence interaction; Artificial intelligence literacy; Artificial intelligence systems; Computational linguistics; Education computing; Engineering education; Engineering skills; Goal-directed; High quality; Language model; Large language model; Model-based OPC; Prompt engineering; Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJXGKY48","journalArticle","2023","Barreto, Fabian; Moharkar, Lalita; Shirodkar, Madhura; Sarode, Vidya; Gonsalves, Saniya; Johns, Aaron","Generative Artificial Intelligence: Opportunities and Challenges of Large Language Models","Lecture Notes in Networks and Systems","","23673370","10.1007/978-981-99-3177-4_41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172001965&doi=10.1007%2f978-981-99-3177-4_41&partnerID=40&md5=c94228721a37ef873d9f9dfcc34282b1","Artificial Intelligence (AI) research in the past decade has led to the development of Generative AI, where AI systems create new information from almost nothing after learning from trained models. Generative AI can create original work, like an article, a code, a painting, a poem, or a song. Google Brain initially used Large Language Models (LLM) for context-aware text translation, and Google went on to develop Bidirectional Encoder Representations from Transformers (BERT) and Language Model for Dialogue Applications (LaMDA). Facebook created OPT-175B and BlenderBot, while OpenAI innovated GPT-3 for text, DALL-E2 for images, and Whisper for speech. GPT-3 was trained on around 45 terabytes of text data at an estimated cost of several million dollars. Generative models have also been developed from online communities like Midjourney and open-source ones like HuggingFace. On November 30, 2022, OpenAI launched ChatGPT, which used natural language processing (NLP) techniques and was trained on LLM. There was excitement and caution as OpenAI’s ChatGPT reached one million users in just five days, and in January 2023 reached 100 million users. Many marveled at its eloquence and the limited supervision with which it generated code and answered questions. More deployments followed; Microsoft’s OpenAI-powered Bing on February 7, 2023, followed by Google’s Bard on February 8, 2023. We describe the working of LLM and their opportunities and challenges for our modern world. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","2023","2025-06-10 12:53:53","2025-06-10 12:53:53","","545 – 553","","","699 LNNS","","","","","","","","","","English","","","","","","","ISBN: 978-981993176-7 Publisher: Springer Science and Business Media Deutschland GmbH Type: Conference paper","","","","Artificial intelligence; Artificial intelligence research; Artificial intelligence systems; Bing; Chatgpt; Codes (symbols); Computational linguistics; Context-Aware; Generative artificial intelligence; Google+; Language model; Large language model; Natural language processing systems; Social networking (online); Transformer modeling","","V.E, Balas; V.B, Semwal; A, Khandare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJUEN9XN","journalArticle","2024","Retzlaff, Carl Orge; Das, Srijita; Wayllace, Christabel; Mousavi, Payam; Afshari, Mohammad; Yang, Tianpei; Saranti, Anna; Angerschmid, Alessa; Taylor, Matthew E.; Holzinger, Andreas","Human-in-the-Loop Reinforcement Learning: A Survey and Position on Requirements, Challenges, and Opportunities","Journal of Artificial Intelligence Research","","10769757","10.1613/jair.1.15348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184656775&doi=10.1613%2fjair.1.15348&partnerID=40&md5=7d43b0336a7075eb678e93ab7d56a7bf","Artificial intelligence (AI) and especially reinforcement learning (RL) have the potential to enable agents to learn and perform tasks autonomously with superhuman performance. However, we consider RL as fundamentally a Human-in-the-Loop (HITL) paradigm, even when an agent eventually performs its task autonomously. In cases where the reward function is challenging or impossible to define, HITL approaches are considered particularly advantageous. The application of Reinforcement Learning from Human Feedback (RLHF) in systems such as ChatGPT demonstrates the effectiveness of optimizing for user experience and integrating their feedback into the training loop. In HITL RL, human input is integrated during the agent’s learning process, allowing iterative updates and fine-tuning based on human feedback, thus enhancing the agent’s performance. Since the human is an essential part of this process, we argue that human-centric approaches are the key to successful RL, a fact that has not been adequately considered in the existing literature. This paper aims to inform readers about current explainability methods in HITL RL. It also shows how the application of explainable AI (xAI) and specific improvements to existing explainability approaches can enable a better human-agent interaction in HITL RL for all types of users, whether for lay people, domain experts, or machine learning specialists. Accounting for the workflow in HITL RL and based on software and machine learning methodologies, this article identifies four phases for human involvement for creating HITL RL systems: (1) Agent Development, (2) Agent Learning, (3) Agent Evaluation, and (4) Agent Deployment. We highlight human involvement, explanation requirements, new challenges, and goals for each phase. We furthermore identify low-risk, high-return opportunities for explainability research in HITL RL and present long-term research goals to advance the field. Finally, we propose a vision of human-robot collaboration that allows both parties to reach their full potential and cooperate effectively. ©2024 The Authors. Published by AI Access Foundation under Creative Commons Attribution License CC BY 4.0.","2024","2025-06-10 12:53:53","2025-06-10 12:53:53","","359 – 415","","","79","","","","","","","","","","English","","","","","","","Publisher: AI Access Foundation Type: Article","","","","Autonomous agents; Fine tuning; Human-in-the-loop; Iterative methods; Iterative update; Learn+; Learning process; Learning systems; Machine-learning; Performance; Reinforcement learning; Reinforcement learnings; Reward function; Robots; Users' experiences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AP4E2885","journalArticle","2024","Sengar, Sandeep Singh; Hasan, Affan Bin; Kumar, Sanjay; Carroll, Fiona","Generative artificial intelligence: a systematic review and applications","Multimedia Tools and Applications","","13807501","10.1007/s11042-024-20016-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201202967&doi=10.1007%2fs11042-024-20016-1&partnerID=40&md5=4cb15d4f0c2c9af83444e5d7a1e7260e","In recent years, the study of artificial intelligence (AI) has undergone a paradigm shift. This has been propelled by the groundbreaking capabilities of generative models both in supervised and unsupervised learning scenarios. Generative AI has shown state-of-the-art performance in solving perplexing real-world conundrums in fields such as image translation, medical diagnostics, textual imagery fusion, natural language processing, and beyond. This paper documents the systematic review and analysis of recent advancements and techniques in Generative AI with a detailed discussion of their applications including application-specific models. Indeed, the major impact that generative AI has made to date, has been in language generation with the development of large language models, in the field of image translation and several other interdisciplinary applications of generative AI. Moreover, the primary contribution of this paper lies in its coherent synthesis of the latest advancements in these areas, seamlessly weaving together contemporary breakthroughs in the field. Particularly, how it shares an exploration of the future trajectory for generative AI. In conclusion, the paper ends with a discussion of Responsible AI principles, and the necessary ethical considerations for the sustainability and growth of these generative models. © Crown 2024.","2024","2025-06-10 12:53:53","2025-06-10 12:53:53","","","","","","","","","","","","","","","English","","","","","","","Publisher: Springer Type: Article","","","","Auto encoders; Diagnosis; Generative adversarial networks; Generative artificial intelligence; Generative model; Image translation; Medical imaging; Natural language processing systems; Paradigm shifts; Segmentation; Supervised and unsupervised learning; Systematic Review; Transformer; Translation (languages); Variational autoencoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJJRQWHE","journalArticle","2025","Xu, Biao; Yang, Guanci","Interpretability research of deep learning: A literature survey","Information Fusion","","15662535","10.1016/j.inffus.2024.102721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207598633&doi=10.1016%2fj.inffus.2024.102721&partnerID=40&md5=eca311c3f98e9ddd452cae4fcf90487f","Deep learning (DL) has been widely used in various fields. However, its black-box nature limits people's understanding and trust in its decision-making process. Therefore, it becomes crucial to research the DL interpretability, which can elucidate the model's decision-making processes and behaviors. This review provides an overview of the current status of interpretability research. First, the DL's typical models, principles, and applications are introduced. Then, the definition and significance of interpretability are clarified. Subsequently, some typical interpretability algorithms are introduced into four groups: active, passive, supplementary, and integrated explanations. After that, several evaluation indicators for interpretability are briefly described, and the relationship between interpretability and model performance is explored. Next, the specific applications of some interpretability methods/models in actual scenarios are introduced. Finally, the interpretability research challenges and future development directions are discussed. © 2024 Elsevier B.V.","2025","2025-06-10 12:53:53","2025-06-10 12:53:53","","","","","115","","","","","","","","","","English","","","","","","","Publisher: Elsevier B.V. Type: Article","","","","Active explanation; Active learning; Adversarial machine learning; Black boxes; Contrastive Learning; Decision-making behaviors; Decision-making process; Deep learning; Deep reinforcement learning; Explainable artificial intelligence; Federated learning; Interpretability; Literature survey; Modeling decision makings; Passive explanation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF7S93EA","journalArticle","2024","Zhang, Ruichen; Du, Hongyang; Liu, Yinqiu; Niyato, Dusit; Kang, Jiawen; Sun, Sumei; Shen, Xuemin; Poor, H. Vincent","Interactive AI With Retrieval-Augmented Generation for Next Generation Networking","IEEE Network","","08908044","10.1109/MNET.2024.3401159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193268130&doi=10.1109%2fMNET.2024.3401159&partnerID=40&md5=2f1d8b816105ce721a4d187c77e1cab9","With the advance of artificial intelligence (AI), the concept of interactive AI (IAI) has been introduced, which can interactively understand and respond not only to human user input but also to dynamic system and network conditions. In this article, we explore an integration and enhancement of IAI in networking. We first review recent developments and future perspectives of AI and then introduce the technology and components of IAI. We then explore the integration of IAI into next-generation networks, focusing on how implicit and explicit interactions can enhance network functionality, improve user experience, and promote efficient network management. Subsequently, we propose an IAI-enabled network management and optimization framework, which consists of environment, perception, action, and brain units. We also design a pluggable large language model (LLM) module and retrieval augmented generation (RAG) module to build the knowledge base and contextual memory for decision-making in the brain unit. We demonstrate through case studies that our IAI framework can effectively perform optimization problem design. Finally, we discuss potential research directions for IAI-based networks. © 2024 IEEE.","2024","2025-06-10 12:53:53","2025-06-10 12:53:53","","414 – 424","","6","38","","","","","","","","","","English","","","","","","","Publisher: Institute of Electrical and Electronics Engineers Inc. Type: Article","","","","AGI; Decision making; Heuristic algorithms; Heuristics algorithm; Interactive AI; Job analysis; Knowledge based systems; Language-modeling module; Network management; Networking; Next generation networks; Optimisations; Optimization; Pluggable large language model module; Prediction algorithms; Predictive models; Problem formulation; Retrieval augmented generation; Task analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8K43SS8","journalArticle","2025","Xi, Zhiheng; Chen, Wenxiang; Guo, Xin; He, Wei; Ding, Yiwen; Hong, Boyang; Zhang, Ming; Wang, Junzhe; Jin, Senjie; Zhou, Enyu; Zheng, Rui; Fan, Xiaoran; Wang, Xiao; Xiong, Limao; Zhou, Yuhao; Wang, Weiran; Jiang, Changhao; Zou, Yicheng; Liu, Xiangyang; Yin, Zhangyue; Dou, Shihan; Weng, Rongxiang; Qin, Wenjuan; Zheng, Yongyan; Qiu, Xipeng; Huang, Xuanjing; Zhang, Qi; Gui, Tao","The rise and potential of large language model based agents: a survey","Science China Information Sciences","","1674733X","10.1007/s11432-024-4222-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217275699&doi=10.1007%2fs11432-024-4222-0&partnerID=40&md5=6b9d5807539ca56dca58c72ceb4221c6","For a long time, researchers have sought artificial intelligence (AI) that matches or exceeds human intelligence. AI agents, which are artificial entities capable of sensing the environment, making decisions, and taking actions, are seen as a means to achieve this goal. Extensive efforts have been made to develop AI agents, with a primary focus on refining algorithms or training strategies to enhance specific skills or particular task performance. The field, however, lacks a sufficiently general and powerful model to serve as a foundation for building general agents adaptable to diverse scenarios. With their versatile capabilities, large language models (LLMs) pave a promising path for the development of general AI agents, and substantial progress has been made in the realm of LLM-based agents. In this article, we conduct a comprehensive survey on LLM-based agents, covering their construction frameworks, application scenarios, and the exploration of societies built upon LLM-based agents. We also conclude some potential future directions and open problems in this flourishing field. © Science China Press 2025.","2025","2025-06-10 12:53:53","2025-06-10 12:53:53","","","","2","68","","","","","","","","","","English","","","","","","","Publisher: Science China Press Type: Review","","","","Agent society; Artificial intelligence agent; Autonomous agents; Economic and social effects; Language model; Language processing; Large language model; Large language model-based agent; Metabolism; Model-based OPC; Modeling languages; Natural language processing; Natural language processing systems; Natural languages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38KAY3L6","journalArticle","2024","Cao, Yuji; Zhao, Huan; Cheng, Yuheng; Shu, Ting; Chen, Yue; Liu, Guolong; Liang, Gaoqi; Zhao, Junhua; Yan, Jinyue; Li, Yun","Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods","IEEE Transactions on Neural Networks and Learning Systems","","2162237X","10.1109/TNNLS.2024.3497992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210751743&doi=10.1109%2fTNNLS.2024.3497992&partnerID=40&md5=8d2fe9fe8bccc1b2f61d8d82a95810c0","With extensive pretrained knowledge and high-level general capabilities, large language models (LLMs) emerge as a promising avenue to augment reinforcement learning (RL) in aspects, such as multitask learning, sample efficiency, and high-level task planning. In this survey, we provide a comprehensive review of the existing literature in LLM-enhanced RL and summarize its characteristics compared with conventional RL methods, aiming to clarify the research scope and directions for future studies. Utilizing the classical agent-environment interaction paradigm, we propose a structured taxonomy to systematically categorize LLMs' functionalities in RL, including four roles: information processor, reward designer, decision-maker, and generator. For each role, we summarize the methodologies, analyze the specific RL challenges that are mitigated and provide insights into future directions. Finally, the comparative analysis of each role, potential applications, prospective opportunities, and challenges of the LLM-enhanced RL are discussed. By proposing this taxonomy, we aim to provide a framework for researchers to effectively leverage LLMs in the RL field, potentially accelerating RL applications in complex applications, such as robotics, autonomous driving, and energy systems. © 2012 IEEE.","2024","2025-06-10 12:53:53","2025-06-10 12:53:53","","","","","","","","","","","","","","","English","","","","","","","Publisher: Institute of Electrical and Electronics Engineers Inc. Type: Article","","","","Adversarial machine learning; Decision making; Deep reinforcement learning; Language model; Large language model; Large language model-enhanced reinforcement learning; Multi-modal; Multimodal reinforcement learning; Reinforcement learning; Reinforcement learnings; Taxonomies; Vision-language model; Visual languages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
