"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DX9KVF4U","conferencePaper","2025","Sarmiento, Christian; Lauría, Eitel J.M.","Investigating Flavors of RAG for Applications in College Chatbots","International Conference on Computer Supported Education, CSEDU - Proceedings","978-989-758-746-7","","10.5220/0013468200003932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003717824&doi=10.5220%2f0013468200003932&partnerID=40&md5=3b4bfba24c1478bd6073d2cc47b53203","Retrieval Augmented Generation (RAG) has become a growing area of interest in machine learning (ML) and large language models (LLM) for its ability to improve reasoning by grounding responses in relevant contexts. This study analyzes two RAG architectures, RAG's original design and Corrective RAG. Through a detailed examination of these architectures, their components, and performance, this work underscores the need for robust metrics when assessing RAG architectures and highlights the importance of good quality context documents in building systems that can mitigate LLM limitations, providing valuable insight for academic institutions to design efficient and accurate question-answering systems tailored to institutional needs. Copyright © 2025 by SCITEPRESS - Science and Technology Publications, Lda.","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","421 – 428","","","2","","","","","","","","Science and Technology Publications, Lda","","English","","","","","","","ISSN: 21845026 Type: Conference paper","","","","Area of interest; Chatbots; Computational grammars; High educations; In-building systems; Language model; Large language model; Machine-learning; Original design; Performance; Retrieval augmented generation; Supervised learning","","B, du Boulay; T, Di Mascio; E, Tovar; C, Meinel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STWFKQT9","journalArticle","2025","Hosseini, Soodeh; Seilani, Hossein","The role of agentic AI in shaping a smart future: A systematic review","Array","","25900056","10.1016/j.array.2025.100399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005099002&doi=10.1016%2fj.array.2025.100399&partnerID=40&md5=7a32ef53eeb636416c9e2d3b81fdc69f","Artificial intelligence (AI), particularly Agentic AI, is increasingly critical for addressing the demand for speed, efficiency, and customer focus in modern organizations. However, the rapid evolution of Agentic AI, including Generative AI (GenAI) agents, has outpaced a cohesive understanding of its applications, challenges, and strategic implications. This narrative review explores the role of Agentic AI in shaping an intelligent future, focusing on its key attributes—autonomy, reactivity, proactivity, and learning ability—and its potential to transform organizational performance. We identify a research gap in synthesizing the diverse capabilities of Agentic AI (e.g., multimodal processing, hierarchical architectures, and machine learning outsourcing) and providing actionable strategies for adoption. The paper examines how Agentic AI enables autonomous decision-making, automates processes, and enhances efficiency through tools like LangChain, CrewAI, AutoGen, and AutoGPT. It highlights the transition from assisted (“Copilot”) to autonomous (“Autopilot”) models and the importance of hierarchical agent structures for system coordination. Key contributions include a framework for organizations to formulate GenAI strategies, addressing business needs, tool selection, human resource training, and risk management. Findings reveal that Agentic AI significantly improves productivity, reduces costs, and drives innovation, though challenges such as privacy, security, and ethical concerns remain. Future research should focus on industry-specific case studies to deepen understanding, explore the ethical and social impacts (e.g., privacy, data security, labor market effects), and investigate the integration of Agentic AI with emerging technologies like quantum computing. This review provides a foundation for researchers and practitioners to leverage Agentic AI effectively while addressing its limitations and opportunities. © 2025 The Authors","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","","","","26","","","","","","","","","","English","","","","","","","Publisher: Elsevier B.V. Type: Review","","","","Agent-oriented; Agent-oriented artificial intelligence; Artificial intelligence agent; Customer focus; Deep learning; Enterprise resource planning; Ethical technology; Generative artificial intelligence agent; Human resource management; ITS applications; Key attributes; Machine learning work outsourcing; Machine-learning; Outsourcing; Risk perception; Supervised learning; Systematic Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42EL6P8P","journalArticle","2025","Chacon-Chamorro, Manuela; Giraldo, Luis Felipe; Quijano, Nicanor; Vargas-Panesso, Vicente; Gonzalez, Cesar; Pinzon, Juan Sebastian; Manrique, Ruben; Rios, Manuel; Fonseca, Yesid; Gomez-Barrera, Daniel; Perdomo-Perez, Monica","Cooperative Resilience in Artificial Intelligence Multiagent Systems","IEEE Transactions on Artificial Intelligence","","26914581","10.1109/TAI.2025.3567371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004595741&doi=10.1109%2fTAI.2025.3567371&partnerID=40&md5=edea7452cdca2d44b8769b3c6d05887b","Resilience refers to the ability of systems to with-stand, adapt to, and recover from disruptive events. While studies on resilience have attracted significant attention across various research domains, the precise definition of this concept within the field of cooperative artificial intelligence remains unclear. This paper addresses this gap by proposing a clear definition of ‘cooperative resilience’ and outlining a methodology for its quantitative measurement. The methodology is validated in an environment with RL-based and LLM-augmented autonomous agents, subjected to environmental changes and the introduction of agents with unsustainable behaviors. These events are parameterized to create various scenarios for measuring cooperative resilience. The results highlight the crucial role of resilience metrics in analyzing how the collective system prepares for, resists, recovers from, sustains well-being, and transforms in the face of disruptions. These findings provide foundational insights into the definition, measurement, and preliminary analysis of cooperative resilience, offering significant implications for the broader field of AI. Moreover, the methodology and metrics developed here can be adapted to a wide range of AI applications, enhancing the reliability and effectiveness of AI in dynamic and unpredictable environments. © 2020 IEEE.","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","","","","","","","","","","","","","","English","","","","","","","Publisher: Institute of Electrical and Electronics Engineers Inc. Type: Article","","","","Cooperative AI; Cooperative resilience; Disruptive event; Engineering education; Language model; Large language model; Melting pot 2.0; Multi agent; Reinforcement learning; Reinforcement learnings; Research domains; Social dilemmas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF43UGN6","conferencePaper","2025","Renney, Harri; Nethercott, Max; Williams, Olivia; Evetts, Jayden; Lang, James","Reimagining the Data Landscape: A Multi-Agent Paradigm for Data Interfacing","Proceedings - 2025 8th International Conference on Data Science and Machine Learning Applications, CDMA 2025","979-8-3315-3969-6","","10.1109/CDMA61895.2025.00025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001149752&doi=10.1109%2fCDMA61895.2025.00025&partnerID=40&md5=875d2e97f8b48639dfc9a7428d877287","The concept of using multi-agent systems is an area of contemporary artificial intelligence (AI) that dates back as far as the 1970s. At the time, these concepts were discussed in a primarily theoretical capacity, with the idea that once AI agents with sufficient reasoning abilities were achieved, novel multi-agent systems could be tried and tested. With the emergence of a combination of key enabling technologies, including the transformer, large language models (LLMs), and access to considerable compute power, conceptual multi-agent designs are now possible to investigate in practice. Reflecting on these observations, a multi-agent approach for effectively navigating domain-specific landscapes is formalised. The paradigm draws from the observations seen in research, industry developments and community support for creating multi-agent networks composed of specialist agents to target domain-specific problems. The paradigm focuses particularly on data interfacing across multiple distinct datasets at once. Using the proposed paradigm, an example is developed for a Cyber Intelligence use case along with suggestive results from a small preliminary user experience study. The paper concludes by discussing this paradigm's strengths and weaknesses and speculates where future developments may progress. © 2025 IEEE.","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","114 – 119","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","","","","","Type: Conference paper","","","","Agent paradigm; Agentic artificial intelligence; Chatbots; Cyber security; Data interfacing; Domain specific; Language model; Large language model; Multi agent; Multi agent systems; Multiagent systems (MASs); Network security; RAG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9I5MI4ZM","journalArticle","2025","Ur Rahman, Mohammad Wali; Nevarez, Ric; Mim, Lamia Tasnim; Hariri, Salim","Multi-Agent Actor-Critic Generative AI for Query Resolution and Analysis","IEEE Transactions on Artificial Intelligence","","26914581","10.1109/TAI.2025.3544173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218761921&doi=10.1109%2fTAI.2025.3544173&partnerID=40&md5=a650d6be79ee290415b7cbf01033e350","In this paper, we introduce MASQRAD (Multi-Agent Strategic Query Resolution and Diagnostic tool), a transformative framework for query resolution based on the actor-critic model, which utilizes multiple generative AI agents. MASQRAD is excellent at translating imprecise or ambiguous user inquiries into precise and actionable requests. This framework generates pertinent visualizations and responses to these focused queries, as well as thorough analyses and insightful interpretations for users. MASQRAD addresses the common shortcomings of existing solutions in domains that demand fast and precise data interpretation, such as their incapacity to successfully apply AI for generating actionable insights and their challenges with the inherent ambiguity of user queries. MASQRAD functions as a sophisticated multi-agent system but ""masquerades""to users as a single AI entity, which lowers errors and enhances data interaction. This approach makes use of three primary AI agents: Actor Generative AI, Critic Generative AI, and Expert Analysis Generative AI. Each is crucial for creating, enhancing, and evaluating data interactions. The Actor AI generates Python scripts to generate data visualizations from large datasets within operational constraints, and the Critic AI rigorously refines these scripts through multi-agent debate. Finally, the Expert Analysis AI contextualizes the outcomes to aid in decision-making. With an accuracy rate of 87% when handling tasks related to natural language visualization, MASQRAD establishes new benchmarks for automated data interpretation and showcases a noteworthy advancement that has the potential to revolutionize AI-driven applications. © 2025 IEEE.","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","","","","","","","","","","","","","","English","","","","","","","Publisher: Institute of Electrical and Electronics Engineers Inc. Type: Article","","","","Actor critic models; Benchmarking; Contrastive Learning; Data assimilation; Decision making; Deep learning; Diagnostics tools; Generative adversarial networks; Generative AI; Language processing; Large datasets; Multi agent; Multiagent systems (MASs); Natural language processing; Natural language processing systems; Natural languages; Query languages; Query processing; Query resolution; Structured Query Language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TGPFQYH","journalArticle","2025","Qu, Changle; Dai, Sunhao; Wei, Xiaochi; Cai, Hengyi; Wang, Shuaiqiang; Yin, Dawei; Xu, Jun; Wen, Ji-Rong","Tool learning with large language models: a survey","Frontiers of Computer Science","","20952228","10.1007/s11704-024-40678-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217667500&doi=10.1007%2fs11704-024-40678-2&partnerID=40&md5=7a7e6cc79c9a9fe43ca95dfdfecc3743","Recently, tool learning with large language models (LLMs) has emerged as a promising paradigm for augmenting the capabilities of LLMs to tackle highly complex problems. Despite growing attention and rapid advancements in this field, the existing literature remains fragmented and lacks systematic organization, posing barriers to entry for newcomers. This gap motivates us to conduct a comprehensive survey of existing works on tool learning with LLMs. In this survey, we focus on reviewing existing literature from the two primary aspects (1) why tool learning is beneficial and (2) how tool learning is implemented, enabling a comprehensive understanding of tool learning with LLMs. We first explore the “why” by reviewing both the benefits of tool integration and the inherent benefits of the tool learning paradigm from six specific aspects. In terms of “how”, we systematically review the literature according to a taxonomy of four key stages in the tool learning workflow: task planning, tool selection, tool calling, and response generation. Additionally, we provide a detailed summary of existing benchmarks and evaluation methods, categorizing them according to their relevance to different stages. Finally, we discuss current challenges and outline potential future directions, aiming to inspire both researchers and industrial developers to further explore this emerging and promising area. © Higher Education Press 2025.","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","","","8","19","","","","","","","","","","English","","","","","","","Publisher: Higher Education Press Limited Company Type: Review","","","","Adversarial machine learning; Complex problems; Contrastive Learning; Federated learning; Language model; Large language model; Learning paradigms; Planning tools; Task planning; Tool integration; Tool learning; Tool selection; Work-flows","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SR86NYQY","journalArticle","2025","Xi, Zhiheng; Chen, Wenxiang; Guo, Xin; He, Wei; Ding, Yiwen; Hong, Boyang; Zhang, Ming; Wang, Junzhe; Jin, Senjie; Zhou, Enyu; Zheng, Rui; Fan, Xiaoran; Wang, Xiao; Xiong, Limao; Zhou, Yuhao; Wang, Weiran; Jiang, Changhao; Zou, Yicheng; Liu, Xiangyang; Yin, Zhangyue; Dou, Shihan; Weng, Rongxiang; Qin, Wenjuan; Zheng, Yongyan; Qiu, Xipeng; Huang, Xuanjing; Zhang, Qi; Gui, Tao","The rise and potential of large language model based agents: a survey","Science China Information Sciences","","1674733X","10.1007/s11432-024-4222-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217275699&doi=10.1007%2fs11432-024-4222-0&partnerID=40&md5=6b9d5807539ca56dca58c72ceb4221c6","For a long time, researchers have sought artificial intelligence (AI) that matches or exceeds human intelligence. AI agents, which are artificial entities capable of sensing the environment, making decisions, and taking actions, are seen as a means to achieve this goal. Extensive efforts have been made to develop AI agents, with a primary focus on refining algorithms or training strategies to enhance specific skills or particular task performance. The field, however, lacks a sufficiently general and powerful model to serve as a foundation for building general agents adaptable to diverse scenarios. With their versatile capabilities, large language models (LLMs) pave a promising path for the development of general AI agents, and substantial progress has been made in the realm of LLM-based agents. In this article, we conduct a comprehensive survey on LLM-based agents, covering their construction frameworks, application scenarios, and the exploration of societies built upon LLM-based agents. We also conclude some potential future directions and open problems in this flourishing field. © Science China Press 2025.","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","","","2","68","","","","","","","","","","English","","","","","","","Publisher: Science China Press Type: Review","","","","Agent society; Artificial intelligence agent; Autonomous agents; Economic and social effects; Language model; Language processing; Large language model; Large language model-based agent; Metabolism; Model-based OPC; Modeling languages; Natural language processing; Natural language processing systems; Natural languages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DK46MR3T","conferencePaper","2025","Sultanow, Eldar; Chircu, Alina; Czarnecki, Christian; Seßler, Matthias; Grum, Marcus","Integration of Large Language Models and Digital Twins in the Public Sector","Proceedings of the Annual Hawaii International Conference on System Sciences","978-0-9981331-8-8","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005151989&partnerID=40&md5=1bc29de259a8e7e9b0adf312f462a6c4","The potential of large language models (LLMs) for generative artificial intelligence that underpin chatbots like ChatGPT, Gemini, or Neuroflash to improve both personal and organizational work processes is enormous. In this paper, we discuss how LLMs could be integrated with another emerging digital technology concept, digital twins, to optimize and automate processes in the public sector. This integration can allow for accurate and detailed modeling of complex systems and interactions within society, and enhance decision-making, policy development and strategic planning through simulation and automation. © 2025 IEEE Computer Society. All rights reserved.","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","7060 – 7069","","","","","","","","","","","IEEE Computer Society","","English","","","","","","","ISSN: 15301605 Type: Conference paper","","","","Accurate modeling; Automate process; Chatbots; Decision making; Digital technologies; Digital transformation; Language model; Large language model; Organisational; Public sector; Strategic planning; Work process","","T.X, Bui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7XZ4BHPC","journalArticle","2025","Yan, Biwei; Li, Kun; Xu, Minghui; Dong, Yueyan; Zhang, Yue; Ren, Zhaochun; Cheng, Xiuzhen","On protecting the data privacy of Large Language Models (LLMs) and LLM agents: A literature review","High-Confidence Computing","","26672952","10.1016/j.hcc.2025.100300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003235413&doi=10.1016%2fj.hcc.2025.100300&partnerID=40&md5=43b176d42f52b445aefc6849e6f9b94d","Large Language Models (LLMs) are complex artificial intelligence systems, which can understand, generate, and translate human languages. By analyzing large amounts of textual data, these models learn language patterns to perform tasks such as writing, conversation, and summarization. Agents built on LLMs (LLM agents) further extend these capabilities, allowing them to process user interactions and perform complex operations in diverse task environments. However, during the processing and generation of massive data, LLMs and LLM agents pose a risk of sensitive information leakage, potentially threatening data privacy. This paper aims to demonstrate data privacy issues associated with LLMs and LLM agents to facilitate a comprehensive understanding. Specifically, we conduct an in-depth survey about privacy threats, encompassing passive privacy leakage and active privacy attacks. Subsequently, we introduce the privacy protection mechanisms employed by LLMs and LLM agents and provide a detailed analysis of their effectiveness. Finally, we explore the privacy protection challenges for LLMs and LLM agents as well as outline potential directions for future developments in this domain. © 2025 The Author(s)","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","","","2","5","","","","","","","","","","English","","","","","","","Publisher: Shandong University Type: Review","","","","Artificial intelligence systems; Differential privacy; Human language; Information leakage; Language model; Large language model; Large language model agent; Literature reviews; Model agents; Privacy protection; Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGLRNIM4","journalArticle","2025","Rezaei, Hirad Baradaran; Ng, Siu Lung; Rabhi, Fethi","Enhancing Analytics Pipelines with Advanced Multi-agent Feedback Integration","Lecture Notes in Business Information Processing","","18651348","10.1007/978-3-031-89933-1_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003912010&doi=10.1007%2f978-3-031-89933-1_4&partnerID=40&md5=4399a4ca7e9c7944fdf30397a4cc14ce","The rapid advancement of machine learning (ML) has significantly impacted financial analytics. This paper addresses the importance of feedback collection within financial analytics pipelines, highlighting challenges and proposing a framework for effective feedback integration. By focusing on real-time feedback mechanisms, user-friendly interfaces, and diverse data coordination, the proposed solution aims to enhance the reliability and adaptability of ML models over time. Through a comprehensive case study, the framework’s efficacy in improving the performance and usability of financial analytics pipelines is demonstrated. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","2025","2025-06-10 12:54:15","2025-06-10 12:54:15","","47 – 61","","","541 LNBIP","","","","","","","","","","English","","","","","","","ISBN: 978-303189932-4 Publisher: Springer Science and Business Media Deutschland GmbH Type: Conference paper","","","","Adaptive pipeline; AI agent; Feedback collection; Financial analytic; Interactive computer systems; LLM; Machine-learning; Multi agent; Multiagent systems (MASs); Real-time feedback","","J, Hedman; R, Gleasure; M, Bandara","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
