"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SNXGEPKU","journalArticle","2024","Gomes Pessanha, Gabriel Rodrigo; Vieira, Alessandro Garcia; Brandão, Wladmir Cardoso","Large Language Models (LLMs): A systematic study in Administration and Business; [Large Language Models (LLMs): Um estudo sistemático em Administração e Negócios]","Revista de Administracao Mackenzie","","15186776","10.1590/1678-6971/eRAMD240059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213462702&doi=10.1590%2f1678-6971%2feRAMD240059&partnerID=40&md5=323ea2fbfeedebaff07f2a217e5da673","Purpose: With the advancement of the use of LLMs, there is a growing need to understand the current research scenario and potential trends and gaps in this field of knowledge. Therefore, bibliometric analysis was used with the aim of analyzing scientific production involving applications of LLMs in Administration and Business. Originality/value: This study analyzes the characteristics of academic production involving LLMs, Administration, and Business and provides potential insights for researchers and professionals in the field. Design/methodology/approach: To achieve the objectives of this work, bibliometrics and systematic mapping were conducted from 2000 to 2024 to answer the following questions: What is the state of the art of academic production involving LLMs in Administration and Business? What is the state of the art of empirical studies involving LLMs in Administration and Business? What is the focus of LLM applications in Administration and Business? Findings: Most articles involve computational modeling and empirical analyses and refer to validating existing technologies, methods, or tools. The research was classified according to 6 categories regarding the application objectives of LLMs: Tracking, Recognition, Extraction, Modeling, Summarization, and Classification. The systematic map analysis indicates that, despite advances in the use and application of LLMs, some challenges persist and represent possibilities for future research. Issues involving data ethics and privacy and the management of research biases involving natural language processing are prominent challenges. © 2024 Mackenzie Presbyterian University. All rights reserved.","2024","2025-06-10 12:54:29","2025-06-10 12:54:29","","","","6","25","","","","","","","","","","English","","","","","","","Publisher: Mackenzie Presbyterian University Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VQCFH9R","journalArticle","2025","Yang, Yi; Ma, Yitong; Feng, Hao; Cheng, Yiming; Han, Zhu","Minimizing Hallucinations and Communication Costs: Adversarial Debate and Voting Mechanisms in LLM-Based Multi-Agents","Applied Sciences (Switzerland)","","20763417","10.3390/app15073676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002274951&doi=10.3390%2fapp15073676&partnerID=40&md5=ac291952827befcdb1220b1e11ca4d86","The emergence of large language models (LLMs), such as GPT and Claude, has revolutionized AI by enabling general and domain-specific natural language tasks. However, hallucinations, characterized by false or inaccurate responses, pose serious limitations, particularly in critical fields like medicine and law, where any compromise in reliability can lead to severe consequences. This paper addresses the hallucination issue by proposing a multi-agent LLM framework, incorporating adversarial and voting mechanisms. Specifically, the framework employs repetitive inquiries and error logs to mitigate hallucinations within single LLMs, while adversarial debates and voting mechanisms enable cross-verification among multiple agents, thereby determining when external knowledge retrieval is necessary. Additionally, an entropy compression technique is introduced to enhance communication efficiency by reducing token usage and task completion time. Experimental results demonstrate that the framework significantly improves accuracy, showing a steady increase in composite accuracy across 20 evaluation batches while reducing hallucinations and optimizing task completion time. Notably, the dynamic weighting mechanism effectively prioritized high-performing models, leading to a reduction in error rates and improved consistency in the final responses. © 2025 by the authors.","2025","2025-06-10 12:54:29","2025-06-10 12:54:29","","","","7","15","","","","","","","","","","English","","","","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI) Type: Article","","","","% reductions; Adversarial debate; Adversarial machine learning; Error statistics; External knowledge; External knowledge retrieval; Hallucination reduction; Knowledge retrieval; Language model; Large language model; Multi agent; Natural language processing systems; Voting machines; Voting mechanism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWW5QE7X","journalArticle","2025","Doshi, Anil R.; Bell, J. Jason; Mirzayev, Emil; Vanneste, Bart S.","Generative artificial intelligence and evaluating strategic decisions","Strategic Management Journal","","01432095","10.1002/smj.3677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209060868&doi=10.1002%2fsmj.3677&partnerID=40&md5=82898dc666be0413f098d52a4eb2a042","Research Summary: Strategic decisions are uncertain and often irreversible. Hence, predicting the value of alternatives is important for strategic decision making. We investigate the use of generative artificial intelligence (AI) in evaluating strategic alternatives using business models generated by AI (study 1) or submitted to a competition (study 2). Each study uses a sample of 60 business models and examines agreement in business model rankings made by large language models (LLMs) and those by human experts. We consider multiple LLMs, assumed LLM roles, and prompts. We find that generative AI often produces evaluations that are inconsistent and biased. However, when aggregating evaluations, AI rankings tend to resemble those of human experts. This study highlights the value of generative AI in strategic decision making by providing predictions. Managerial Summary: Managers are seeking to create value by integrating generative AI into their organizations. We show how managers can use generative AI to help evaluate strategic decisions. Generative AI's single evaluations are often inconsistent or biased. However, if managers aggregate many evaluations across LLMs, prompts, or roles, the results show that the resulting evaluations tend to resemble those of human experts. This approach allows managers to obtain insight on strategic decisions across a variety of domains with relatively low investments in time or resources, which can be combined with human inputs. © 2024 The Author(s). Strategic Management Journal published by John Wiley & Sons Ltd.","2025","2025-06-10 12:54:30","2025-06-10 12:54:30","","583 – 610","","3","46","","","","","","","","","","English","","","","","","","Publisher: John Wiley and Sons Ltd Type: Article","","","","Business models; Generative adversarial networks; Generative artificial intelligence; Human expert; Language model; Large language model; Management journals; Strategic decision making; Strategic decisions; Strategic management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3C972JC","journalArticle","2024","Arslan, Muhammad; Munawar, Saba; Cruz, Christophe","Business insights using RAG–LLMs: a review and case study","Journal of Decision Systems","","12460125","10.1080/12460125.2024.2410040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205882314&doi=10.1080%2f12460125.2024.2410040&partnerID=40&md5=e7ee02c4f292a7b2479d870529801016","As organizations increasingly rely on diverse data sources like invoices and surveys, efficient Information Extraction (IE) is crucial. Natural Language Processing (NLP) enhances IE through tasks such as Named Entity Recognition (NER), Relation Extraction (RE), Event Extraction (EE), Term Extraction (TE), and Topic Modeling (TM). However, implementing these methods requires significant expertise, which smaller organizations often lack. Large Language Models (LLMs), powered by Generative Artificial Intelligence (GenAI), can address this by performing multiple IE tasks without extensive development costs. However, LLMs may struggle with domain-specific accuracy. Integrating Retrieval-Augmented Generation (RAG) with LLMs improves precision by incorporating external data. Despite the potential, research on RAG-LLM applications in the business domain is limited. This article reviews Business IE systems, explores RAG-LLM applications across disciplines, and presents a case study demonstrating how RAG-LLMs can enhance business insights, offering scalable, cost-effective solutions. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","2024","2025-06-10 12:54:30","2025-06-10 12:54:30","","","","","","","","","","","","","","","English","","","","","","","Publisher: Taylor and Francis Ltd. Type: Article","","","","Case-studies; Data assimilation; Data integration; Generative artificial intelligence; Information extraction; Language model; Language processing; Large language model; Metadata; Model application; Modeling languages; Natural language processing; Natural language processing systems; Natural languages; Retrieval-augmented generation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPA7RQL2","conferencePaper","2024","Arslan, Muhammad; Munawar, Saba; Cruz, Christophe","Exploring Business Events using Multi-source RAG","Procedia Computer Science","","","10.1016/j.procs.2024.09.303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213390407&doi=10.1016%2fj.procs.2024.09.303&partnerID=40&md5=d9ee6250e294f4a6a5d6a0e50446512d","Business events signify crucial activities within a company, indicating growth opportunities and investment prospects. They encompass various developments such as recruitment drives, market expansions, mergers, and product launches. Understanding these events is vital for businesses seeking to stay updated with market dynamics, as they provide real-time insights into a company's trajectory. Moreover, comprehending the business events of one company can offer strategic advantages to others, facilitating informed decision-making and fostering collaboration within the business ecosystem. Extracting information about these events involves diverse structured, semi-structured, and unstructured data sources, posing challenges for traditional extraction methods. Despite the promise shown by existing openly available LLMs driven by Generative Artificial Intelligence (GenAI), they face challenges when dealing with domain-specific queries. Retrieval-Augmented Generation (RAG) addresses this challenge by seamlessly integrating multiple external data sources of varying structures. In our study, we demonstrate how RAG with LLM facilitates precise extraction of business events, ensuring adaptability in dynamic business environments where datasets are constantly evolving. © 2024 The Authors.","2024","2025-06-10 12:54:30","2025-06-10 12:54:30","","4534 – 4540","","","246","","","","","","","","Elsevier B.V.","","English","","","","","","","ISSN: 18770509 Issue: C Type: Conference paper","","","","Business event; Commerce; Decision making; Dynamic business environment; Extraction method; Growth opportunities; Investments; Language model; Large language model; Market products; Markets expansions; Multi-Sources; Retrieval-augmented generation; Structured Query Language","","J, Flearmoy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDGUR2LZ","journalArticle","2025","Wang, Yaoxiang; Wu, Zhiyong; Yao, Junfeng; Su, Jinsong","TDAG: A multi-agent framework based on dynamic Task Decomposition and Agent Generation","Neural Networks","","08936080","10.1016/j.neunet.2025.107200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216597917&doi=10.1016%2fj.neunet.2025.107200&partnerID=40&md5=4fe3d27c24a54911263973203d315fd7","The emergence of Large Language Models (LLMs) like ChatGPT has inspired the development of LLM-based agents capable of addressing complex, real-world tasks. However, these agents often struggle during task execution due to methodological constraints, such as error propagation and limited adaptability. To address this issue, we propose a multi-agent framework based on dynamic Task Decomposition and Agent Generation (TDAG). This framework dynamically decomposes complex tasks into smaller subtasks and assigns each to a specifically generated subagent, thereby enhancing adaptability in diverse and unpredictable real-world tasks. Simultaneously, existing benchmarks often lack the granularity needed to evaluate incremental progress in complex, multi-step tasks. In response, we introduce ItineraryBench in the context of travel planning, featuring interconnected, progressively complex tasks with a fine-grained evaluation system. ItineraryBench is designed to assess agents’ abilities in memory, planning, and tool usage across tasks of varying complexity. Our experimental results reveal that TDAG significantly outperforms established baselines, showcasing its superior adaptability and context awareness in complex task scenarios. © 2025 Elsevier Ltd","2025","2025-06-10 12:54:30","2025-06-10 12:54:30","","","","","185","","","","","","","","","","English","","","","","","","Publisher: Elsevier Ltd Type: Article PMID: 39903957","","","","AI agent; algorithm; Algorithms; Article; artificial intelligence; Artificial Intelligence; artificial neural network; awareness; benchmarking; Chatbots; ChatGPT; classification algorithm; cognition; Complex task; Computer; conceptual framework; decomposition; Dynamic tasks; dynamics; error; human; Humans; language; Language; Language model; large language model; Large language model; memory; Memory; multi agent framework; Multiagent framework; Neural Networks; ON dynamics; physiology; scoring system; Task agents; Task decomposition; task decomposition and agent generation; task performance; Task Performance and Analysis; travel; Travel planning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBVLYN4C","conferencePaper","2024","Sun, Guangzhi; Zhan, Xiao; Such, Jose","Building Better AI Agents: A Provocation on the Utilisation of Persona in LLM-based Conversational Agents","Proceedings of the 6th Conference on ACM Conversational User Interfaces, CUI 2024","979-8-4007-0511-3","","10.1145/3640794.3665887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199499372&doi=10.1145%2f3640794.3665887&partnerID=40&md5=549f04548c694063767eb037e4eb8c1d","The incorporation of Large Language Models (LLMs) such as the GPT series into diverse sectors including healthcare, education, and finance marks a significant evolution in the field of artificial intelligence (AI). The increasing demand for personalised applications motivated the design of conversational agents (CAs) to possess distinct personas. This paper commences by examining the rationale and implications of imbuing CAs with unique personas, smoothly transitioning into a broader discussion of the personalisation and anthropomorphism of CAs based on LLMs in the LLM era. We delve into the specific applications where the implementation of a persona is not just beneficial but critical for LLM-based CAs. The paper underscores the necessity of a nuanced approach to persona integration, highlighting the potential challenges and ethical dilemmas that may arise. Attention is directed towards the importance of maintaining persona consistency, establishing robust evaluation mechanisms, and ensuring that the persona attributes are effectively complemented by domain-specific knowledge. © 2024 Owner/Author.","2024","2025-06-10 12:54:30","2025-06-10 12:54:30","","","","","","","","","","","","","Association for Computing Machinery, Inc","","English","","","","","","","Type: Conference paper","","","","ChatGPT; Computational linguistics; Conversational agents; Domain Knowledge; Language model; Language processing; Large language model; Model-based OPC; Natural language processing; Natural language processing systems; Natural languages; Persona; Personality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGG9Q2V2","conferencePaper","2024","Dong, Xiaofei; Zhang, Xueqiang; Bu, Weixin; Zhang, Dan; Cao, Feng","A Survey of LLM-based Agents: Theories, Technologies, Applications and Suggestions","2024 3rd International Conference on Artificial Intelligence, Internet of Things and Cloud Computing Technology, AIoTC 2024","979-8-3315-3028-0","","10.1109/AIoTC63215.2024.10748304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211811668&doi=10.1109%2fAIoTC63215.2024.10748304&partnerID=40&md5=ca1f5d583ecc6fdf3a8a877874d334af","AI Agent has presented potential towards Artificial General Intelligence (AGI), which is expected to autonomously perceive the environments, make decisions and take actions. However, most of existing AI agents tend to train in confined environments with limited knowledge, yielding sub-optimal performance. Benefiting from the remarkable progress of large language models (LLMs), diverse LLM-based agents emerge. These agents employ LLM as the central brain to perceive, plan, and memorize, etc, which exhibit human-level intelligence across multifarious applications and obtain satisfactory performance. In this paper, we propose a survey of LLM-based agents from the perspective of theories, technologies, applications and suggestions, respectively. Specifically, we first deliver a recapitulative review of the theory foundation, which includes Large Language Models, Chain of Thought and AI Alignment, Retrieval-Augmented Generation, Embodied AI, etc; With this, we then present the key technologies, comprising four critical components: Perception, Planning, Memory and Action; Subsequently, we briefly explore some domain-related and evaluation applications; Finally, we provide pertinent suggestions based on the observations of significant challenges for LLM-based agents. © 2024 IEEE.","2024","2025-06-10 12:54:30","2025-06-10 12:54:30","","407 – 413","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","","","","","Type: Conference paper","","","","Agent theory; Artificial general intelligences; Artificial intelligence; Confined environment; Key technologies; Language model; Large language model-based agent; Model-based OPC; Optimal systems; Suggestion; Technology application; Theory foundation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZGSX9SB","journalArticle","2025","Qu, Changle; Dai, Sunhao; Wei, Xiaochi; Cai, Hengyi; Wang, Shuaiqiang; Yin, Dawei; Xu, Jun; Wen, Ji-Rong","Tool learning with large language models: a survey","Frontiers of Computer Science","","20952228","10.1007/s11704-024-40678-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217667500&doi=10.1007%2fs11704-024-40678-2&partnerID=40&md5=7a7e6cc79c9a9fe43ca95dfdfecc3743","Recently, tool learning with large language models (LLMs) has emerged as a promising paradigm for augmenting the capabilities of LLMs to tackle highly complex problems. Despite growing attention and rapid advancements in this field, the existing literature remains fragmented and lacks systematic organization, posing barriers to entry for newcomers. This gap motivates us to conduct a comprehensive survey of existing works on tool learning with LLMs. In this survey, we focus on reviewing existing literature from the two primary aspects (1) why tool learning is beneficial and (2) how tool learning is implemented, enabling a comprehensive understanding of tool learning with LLMs. We first explore the “why” by reviewing both the benefits of tool integration and the inherent benefits of the tool learning paradigm from six specific aspects. In terms of “how”, we systematically review the literature according to a taxonomy of four key stages in the tool learning workflow: task planning, tool selection, tool calling, and response generation. Additionally, we provide a detailed summary of existing benchmarks and evaluation methods, categorizing them according to their relevance to different stages. Finally, we discuss current challenges and outline potential future directions, aiming to inspire both researchers and industrial developers to further explore this emerging and promising area. © Higher Education Press 2025.","2025","2025-06-10 12:54:30","2025-06-10 12:54:30","","","","8","19","","","","","","","","","","English","","","","","","","Publisher: Higher Education Press Limited Company Type: Review","","","","Adversarial machine learning; Complex problems; Contrastive Learning; Federated learning; Language model; Large language model; Learning paradigms; Planning tools; Task planning; Tool integration; Tool learning; Tool selection; Work-flows","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YSDFE47","journalArticle","2025","Xi, Zhiheng; Chen, Wenxiang; Guo, Xin; He, Wei; Ding, Yiwen; Hong, Boyang; Zhang, Ming; Wang, Junzhe; Jin, Senjie; Zhou, Enyu; Zheng, Rui; Fan, Xiaoran; Wang, Xiao; Xiong, Limao; Zhou, Yuhao; Wang, Weiran; Jiang, Changhao; Zou, Yicheng; Liu, Xiangyang; Yin, Zhangyue; Dou, Shihan; Weng, Rongxiang; Qin, Wenjuan; Zheng, Yongyan; Qiu, Xipeng; Huang, Xuanjing; Zhang, Qi; Gui, Tao","The rise and potential of large language model based agents: a survey","Science China Information Sciences","","1674733X","10.1007/s11432-024-4222-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217275699&doi=10.1007%2fs11432-024-4222-0&partnerID=40&md5=6b9d5807539ca56dca58c72ceb4221c6","For a long time, researchers have sought artificial intelligence (AI) that matches or exceeds human intelligence. AI agents, which are artificial entities capable of sensing the environment, making decisions, and taking actions, are seen as a means to achieve this goal. Extensive efforts have been made to develop AI agents, with a primary focus on refining algorithms or training strategies to enhance specific skills or particular task performance. The field, however, lacks a sufficiently general and powerful model to serve as a foundation for building general agents adaptable to diverse scenarios. With their versatile capabilities, large language models (LLMs) pave a promising path for the development of general AI agents, and substantial progress has been made in the realm of LLM-based agents. In this article, we conduct a comprehensive survey on LLM-based agents, covering their construction frameworks, application scenarios, and the exploration of societies built upon LLM-based agents. We also conclude some potential future directions and open problems in this flourishing field. © Science China Press 2025.","2025","2025-06-10 12:54:30","2025-06-10 12:54:30","","","","2","68","","","","","","","","","","English","","","","","","","Publisher: Science China Press Type: Review","","","","Agent society; Artificial intelligence agent; Autonomous agents; Economic and social effects; Language model; Language processing; Large language model; Large language model-based agent; Metabolism; Model-based OPC; Modeling languages; Natural language processing; Natural language processing systems; Natural languages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
