questao_numero,retrieval_recall,has_doc_ref,abstained,z_winner,i_star,eta,z_agent_claude-haiku-4.5,z_agent_gemini-3.1-flash-lite,z_agent_gpt-5.4-nano,confidence_raw_claude-haiku-4.5,confidence_raw_gemini-3.1-flash-lite,confidence_raw_gpt-5.4-nano,confidence_calib_claude-haiku-4.5,confidence_calib_gemini-3.1-flash-lite,confidence_calib_gpt-5.4-nano,fold_k
4,1.0,True,False,0,claude-haiku-4.5,0.8615384615384616,0,1,1,0.95,1.0,0.62,0.4,0.26506024096385544,0.21739130434782608,0
18,0.0,True,False,1,claude-haiku-4.5,0.8261526832955405,1,1,1,0.95,0.9,0.46,0.46938775510204084,0.13636363636363635,0.14285714285714285,3
22,1.0,True,False,0,claude-haiku-4.5,0.8575851393188855,0,0,0,0.95,1.0,0.74,0.40350877192982454,0.3,0.19444444444444445,4
23,1.0,True,False,0,gemini-3.1-flash-lite,0.8905882352941177,1,0,0,0.65,1.0,0.25,0.08888888888888889,0.3,0.06666666666666667,4
31,0.5,True,False,1,claude-haiku-4.5,0.8575851393188855,1,1,1,0.95,1.0,0.98,0.40350877192982454,0.3,0.5,4
35,,False,False,0,claude-haiku-4.5,0.8615384615384616,0,0,0,0.95,1.0,0.78,0.4,0.26506024096385544,0.21739130434782608,0
39,1.0,True,True,0,gemini-3.1-flash-lite,0.918954248366013,0,0,0,0.2,0.8,0.05,0.0,0.2222222222222222,0.0,2
40,1.0,True,False,0,claude-haiku-4.5,0.8575851393188855,0,0,1,0.95,1.0,0.78,0.40350877192982454,0.3,0.19444444444444445,4
44,0.0,True,False,0,claude-haiku-4.5,0.8556149732620321,0,0,0,0.95,1.0,0.86,0.4117647058823529,0.29069767441860467,0.16,1
45,0.0,True,False,0,gemini-3.1-flash-lite,0.9116465863453815,0,0,0,0.15,1.0,0.2,0.0,0.26506024096385544,0.0625,0
48,0.0,True,False,0,gemini-3.1-flash-lite,0.9116465863453815,0,0,0,0.85,1.0,0.78,0.16666666666666666,0.26506024096385544,0.21739130434782608,0
50,1.0,True,False,0,gemini-3.1-flash-lite,0.9116465863453815,0,0,0,0.85,1.0,0.62,0.16666666666666666,0.26506024096385544,0.21739130434782608,0
52,0.0,True,True,0,gpt-5.4-nano,0.9727272727272728,0,0,0,0.25,0.1,0.28,0.0,0.0,0.1,1
60,,False,True,0,gpt-5.4-nano,0.9743315508021391,0,0,0,0.25,0.2,0.35,0.0,0.0,0.09090909090909091,4
61,0.0,True,True,0,gemini-3.1-flash-lite,1.0,0,0,0,0.15,0.0,0.1,0.0,0.0,0.0,2
62,0.5,True,False,0,claude-haiku-4.5,0.8615384615384616,0,1,0,0.95,1.0,0.74,0.4,0.26506024096385544,0.21739130434782608,0
69,0.6666666666666666,True,False,1,claude-haiku-4.5,0.8575851393188855,1,0,1,0.95,1.0,0.86,0.40350877192982454,0.3,0.19444444444444445,4
73,,False,False,0,gemini-3.1-flash-lite,0.8905882352941177,0,0,0,0.75,1.0,0.72,0.1111111111111111,0.3,0.19444444444444445,4
79,0.3333333333333333,True,False,0,claude-haiku-4.5,0.8261526832955405,0,0,0,0.95,1.0,0.62,0.46938775510204084,0.30120481927710846,0.15384615384615385,3
80,,False,True,0,gemini-3.1-flash-lite,1.0,0,0,0,0.15,0.1,0.05,0.0,0.0,0.0,2
82,0.0,True,False,0,claude-haiku-4.5,0.8615384615384616,0,0,0,0.95,1.0,0.78,0.4,0.26506024096385544,0.21739130434782608,0
83,,False,False,0,gemini-3.1-flash-lite,0.8958798155585304,0,0,0,0.85,1.0,0.72,0.1875,0.30120481927710846,0.2,3
84,,False,False,0,gemini-3.1-flash-lite,0.8905164602839022,0,0,0,0.1,1.0,0.22,0.0,0.29069767441860467,0.06666666666666667,1
