questao_numero,retrieval_recall,has_doc_ref,abstained,z_winner,i_star,eta,z_agent_qwen35_9b,z_agent_granite41_8b,z_agent_gemma4_e4b,confidence_raw_qwen35_9b,confidence_raw_granite41_8b,confidence_raw_gemma4_e4b,confidence_calib_qwen35_9b,confidence_calib_granite41_8b,confidence_calib_gemma4_e4b,fold_k
4,1.0,True,False,0,granite41_8b,0.8935185185185185,1,0,1,0.95,0.98,0.3,0.17647058823529413,0.3333333333333333,0.0,0
18,0.0,True,False,0,granite41_8b,0.8877338877338877,0,0,0,0.9,0.98,0.9,0.09165302782324061,0.34615384615384615,0.0625,3
22,1.0,True,False,0,granite41_8b,0.9453189726594863,0,0,0,0.95,0.95,0.9,0.12727272727272726,0.17647058823529413,0.023809523809523808,4
23,1.0,True,True,0,granite41_8b,0.978630403108305,0,0,0,0.0,0.55,0.6,0.0,0.06896551724137931,0.023809523809523808,4
31,0.5,True,False,0,granite41_8b,0.767605633802817,1,0,1,1.0,0.99,1.0,0.5,0.75,0.39622641509433965,4
35,,False,False,0,gemma4_e4b,0.8882978723404256,0,0,0,0.95,0.98,1.0,0.17647058823529413,0.3333333333333333,0.3829787234042553,0
39,1.0,True,False,0,granite41_8b,0.9453189726594863,0,0,0,0.1,0.95,0.4,0.0,0.17647058823529413,0.023809523809523808,2
40,1.0,True,False,1,qwen35_9b,0.8169014084507042,1,1,1,1.0,0.98,1.0,0.5,0.25806451612903225,0.39622641509433965,4
44,0.0,True,False,0,qwen35_9b,0.8217506631299735,0,0,0,1.0,0.95,1.0,0.4827586206896552,0.20408163265306123,0.34146341463414637,1
45,0.0,True,False,0,granite41_8b,0.8935185185185185,0,0,0,0.95,0.98,0.95,0.17647058823529413,0.3333333333333333,0.1111111111111111,0
48,0.0,True,False,0,gemma4_e4b,0.8882978723404256,0,0,0,0.95,0.92,1.0,0.17647058823529413,0.05,0.3829787234042553,0
50,1.0,True,False,0,granite41_8b,0.9311002178649237,0,0,0,0.95,0.95,0.95,0.17647058823529413,0.21568627450980393,0.1111111111111111,0
52,0.0,True,False,0,granite41_8b,0.9246467817896389,0,0,0,0.6,0.95,0.9,0.09090909090909091,0.20408163265306123,0.05,1
60,,False,True,0,granite41_8b,0.978630403108305,0,0,0,0.1,0.92,0.5,0.0,0.06896551724137931,0.023809523809523808,4
61,0.0,True,True,0,qwen35_9b,1.0,0,0,0,0.0,0.2,0.1,0.0,0.0,0.0,2
62,0.5,True,False,0,qwen35_9b,0.7947530864197531,0,0,0,1.0,0.98,1.0,0.5277777777777778,0.3333333333333333,0.3829787234042553,0
