questao_numero,retrieval_recall,has_doc_ref,abstained,z_winner,i_star,eta,z_agent_qwen35_9b,z_agent_granite41_8b,z_agent_gemma4_e4b,confidence_raw_qwen35_9b,confidence_raw_granite41_8b,confidence_raw_gemma4_e4b,confidence_calib_qwen35_9b,confidence_calib_granite41_8b,confidence_calib_gemma4_e4b,fold_k
1,0.14285714285714285,True,False,0,qwen35_9b,0.839093137254902,0,1,1,1.0,0.98,1.0,0.5416666666666666,0.3230769230769231,0.41975308641975306,1
2,1.0,True,False,1,qwen35_9b,0.8289181532807595,1,0,0,1.0,0.98,1.0,0.5540540540540541,0.35555555555555557,0.43902439024390244,6
3,1.0,True,False,0,gemma4_e4b,0.832572298325723,0,0,0,0.75,0.98,1.0,0.06,0.3712121212121212,0.45267489711934156,9
4,1.0,True,False,0,granite41_8b,0.8926244343891403,0,0,0,0.95,0.98,0.8,0.21851851851851853,0.3230769230769231,0.09090909090909091,1
5,1.0,True,True,0,granite41_8b,0.9799539927702925,0,0,0,0.1,0.2,0.1,0.0,0.058823529411764705,0.0,3
6,0.5,True,False,0,qwen35_9b,0.929439780783785,0,1,1,0.95,0.95,0.8,0.22743682310469315,0.20425531914893616,0.05555555555555555,4
7,0.6666666666666666,True,True,0,granite41_8b,0.9785200635058992,0,0,0,0.3,0.92,0.1,0.0,0.06593406593406594,0.0,0
8,1.0,True,False,0,qwen35_9b,0.84061004784689,0,0,0,1.0,0.85,0.7,0.5394736842105263,0.08450704225352113,0.0851063829787234,7
9,0.0,True,False,1,granite41_8b,0.8926244343891403,1,1,0,0.95,0.98,0.95,0.21851851851851853,0.3230769230769231,0.16666666666666666,1
10,1.0,True,False,0,granite41_8b,0.9334578988608282,0,0,0,0.6,0.95,0.9,0.0,0.20425531914893616,0.15178571428571427,5
11,0.0,True,False,1,granite41_8b,0.9334578988608282,1,1,0,0.8,0.95,0.95,0.04081632653061224,0.20425531914893616,0.15178571428571427,0
12,0.3333333333333333,True,False,0,gemma4_e4b,0.8444444444444444,0,0,0,0.95,0.95,1.0,0.21851851851851853,0.21030042918454936,0.41975308641975306,1
13,0.3333333333333333,True,False,1,gemma4_e4b,0.8444444444444444,1,1,1,0.95,0.98,1.0,0.21851851851851853,0.3230769230769231,0.41975308641975306,1
14,0.6666666666666666,True,False,0,gemma4_e4b,0.832572298325723,1,0,0,1.0,0.98,1.0,0.52,0.3712121212121212,0.45267489711934156,9
15,1.0,True,False,0,qwen35_9b,0.8289181532807595,0,0,1,1.0,0.95,1.0,0.5540540540540541,0.20425531914893616,0.43902439024390244,6
16,1.0,True,False,0,granite41_8b,0.9306372670193306,0,0,0,0.3,0.95,0.3,0.0,0.20353982300884957,0.0,3
17,0.0,True,False,0,granite41_8b,0.9334578988608282,0,0,0,0.0,0.95,0.9,0.0,0.20425531914893616,0.15178571428571427,0
18,0.0,True,False,1,granite41_8b,0.9306372670193306,0,1,0,0.2,0.95,0.3,0.0,0.20353982300884957,0.0,3
19,,False,False,0,qwen35_9b,0.8385210803689065,0,0,0,1.0,0.95,0.3,0.5362318840579711,0.2079646017699115,0.0,8
20,0.0,True,False,0,qwen35_9b,0.8485255639629447,0,0,0,1.0,0.98,0.8,0.5316455696202531,0.3851851851851852,0.08888888888888889,3
21,1.0,True,False,1,granite41_8b,0.8199754901960784,0,1,1,1.0,1.0,1.0,0.5416666666666666,0.5416666666666666,0.41975308641975306,1
22,1.0,True,False,0,qwen35_9b,0.9266920741027574,0,0,0,0.95,0.95,0.9,0.23741007194244604,0.20425531914893616,0.15178571428571427,0
23,0.0,True,False,0,qwen35_9b,0.9264736405147365,0,0,0,0.95,0.95,0.6,0.24621212121212122,0.2076271186440678,0.07142857142857142,9
24,0.5,True,False,0,qwen35_9b,0.8385210803689065,0,1,0,1.0,0.98,1.0,0.5362318840579711,0.375,0.42016806722689076,8
25,0.0,True,False,1,granite41_8b,0.9311701880659392,0,1,0,0.85,0.95,0.7,0.06,0.2076271186440678,0.07142857142857142,9
26,1.0,True,False,0,granite41_8b,0.9334578988608282,0,0,0,0.0,0.95,0.9,0.0,0.20425531914893616,0.15178571428571427,6
27,0.5,True,False,0,qwen35_9b,0.9280868385345997,0,0,0,0.95,0.95,0.9,0.23880597014925373,0.2079646017699115,0.14545454545454545,8
28,0.5,True,False,0,qwen35_9b,0.839093137254902,0,0,0,1.0,0.95,1.0,0.5416666666666666,0.21030042918454936,0.41975308641975306,1
29,0.5,True,False,0,qwen35_9b,0.8350095785440612,0,1,0,1.0,0.98,1.0,0.5416666666666666,0.35294117647058826,0.4251012145748988,2
30,0.5,True,False,0,gemma4_e4b,0.832572298325723,0,0,0,1.0,0.98,1.0,0.52,0.3712121212121212,0.45267489711934156,9
31,0.5,True,False,0,granite41_8b,0.8035714285714286,1,0,1,1.0,0.99,1.0,0.5394736842105263,0.5714285714285714,0.4322033898305085,7
32,,False,False,0,granite41_8b,0.9306372670193306,0,0,0,0.0,0.95,0.1,0.0,0.20353982300884957,0.0,3
33,,False,True,0,granite41_8b,0.9694664744051911,0,0,0,0.3,0.85,0.1,0.0,0.09210526315789473,0.0,9
